name,b_year,b_month,b_day
George Washington,1732,2,22
John Adams,1735,10,30
Thomas Jefferson,1743,4,13
James Madison,1751,3,16
James Monroe,1758,4,28
John Quincy Adams,1767,7,11
Andrew Jackson,1767,3,15
Martin Van Buren,1782,12,5
William Henry Harrison,1773,2,9
John Tyler,1790,3,29
James K. Polk,1795,11,2
Zachary Taylor,1784,11,24
Millard Fillmore,1800,1,7
Franklin Pierce,1804,11,23
James Buchanan,1791,4,23
Abraham Lincoln,1809,2,12
Andrew Johnson,1808,12,29
Ulysses S. Grant,1822,4,27
Rutherford B. Hayes,1822,10,4
James A. Garfield,1831,11,19
Chester A. Arthur,1829,10,5
Grover Cleveland,1837,3,18
Benjamin Harrison,1833,8,20
William McKinley,1843,1,29
Theodore Roosevelt,1858,10,27
William Howard Taft,1857,9,15
Woodrow Wilson,1856,12,28
Warren G. Harding,1865,11,2
Calvin Coolidge,1872,7,4
Herbert Hoover,1874,8,10
Franklin D. Roosevelt,1882,1,30
Harry S Truman,1884,5,8
Dwight D. Eisenhower,1890,10,14
John Kennedy,1917,5,29
Lyndon B. Johnson,1908,8,27
Richard M. Nixon,1913,1,9
Gerald R. Ford,1913,7,14
Jimmy Carter,1924,10,1
Ronald Reagan,1911,2,6
George H. W. Bush,1924,6,12
William J. Clinton,1946,8,19
George W. Bush,1946,6,6
Barack Obama,1961,8,4
Donald Trump,1946,6,14
Joe Biden,1942,11,20
